Gene,Group,Source,PullDown_Unused,PullDown_Cov_pct,PullDown_Peptides95,Length_bp,GC_pct,Max_eQTL_SNPs,Min_eQTL_SNPs,eQTL_SNPs_Max,eQTL_SNPs_Min,eQTL_SNPs_Mean,eQTL_SNPs_Mean_Num
CKAP4,Candidate,Pull-down,14.64,33.8899999856949,8,20585.0,47.8,2.0,2.0,2.0,1.0,1.5,1.5
HSP90AB1,Candidate,Pull-down,11.37,24.4499996304512,4,23614.0,45.0,2.0,3.0,3.0,2.0,2.5,2.5
HSPA8,Candidate,Pull-down,9.7,16.0999998450279,5,7298.0,46.0,,,,,,
TUBB,Candidate,Pull-down,6.5,13.289999961853,3,4560.0,50.5,2.0,1.0,1.0,1.0,1.0,1.0
GAPDH,Candidate,Pull-down,6.18,33.4300011396408,4,4781.0,55.7,1.0,2.0,2.0,2.0,2.0,2.0
RPL5,Candidate,Pull-down,4.99,18.1799992918968,2,7409.0,46.9,1.0,1.0,1.0,1.0,1.0,1.0
HSP90B1,Candidate,Pull-down,4.63,11.8299998342991,2,10644.0,49.8,2.0,2.0,2.0,1.0,1.5,1.5
VCP,Candidate,Pull-down,4.1,7.32000023126602,2,15800.0,51.8,2.0,2.0,2.0,2.0,2.0,2.0
RPSA,Candidate,Pull-down,4.01,12.8800004720688,2,5999.0,50.2,2.0,3.0,3.0,3.0,3.0,3.0
RNH1,Candidate,Pull-down,4.0,11.0600002110004,2,19790.0,44.3,2.0,4.0,4.0,3.0,3.5,3.5
RPL8,Candidate,Pull-down,3.79,13.6199995875359,2,8270.0,45.6,2.0,1.0,1.0,1.0,1.0,1.0
EIF4A1,Candidate,Pull-down,3.71,11.8199996650219,2,15881.0,41.5,1.0,1.0,1.0,1.0,1.0,1.0
RPS14,Candidate,Pull-down,2.32,9.27200019359589,1,5284.0,47.5,2.0,2.0,2.0,1.0,1.5,1.5
RPLP0,Candidate,Pull-down,2.13,16.7199999094009,1,5504.0,46.3,2.0,2.0,2.0,2.0,2.0,2.0
RPS16,Candidate,Pull-down,1.52,28.0800014734268,1,3685.0,48.0,2.0,2.0,2.0,1.0,1.5,1.5
XRCC5,Candidate,Literature_curation,0.0,0.0,0,38857.0,39.3,2.0,3.0,3.0,2.0,2.5,2.5
H2AFV,Candidate,Literature_curation,0.0,0.0,0,15137.0,43.7,2.0,2.0,2.0,2.0,2.0,2.0
RPS13,Candidate,Literature_curation,0.0,0.0,0,5861.0,44.7,2.0,2.0,2.0,2.0,2.0,2.0
XRCC6,Candidate,Literature_curation,0.0,0.0,0,26025.0,39.3,2.0,2.0,2.0,2.0,2.0,2.0
ACTB,Candidate,Literature_curation,0.0,0.0,0,5345.0,51.0,2.0,1.0,1.0,1.0,1.0,1.0
RPS3,Candidate,Literature_curation,0.0,0.0,0,7803.0,41.4,1.0,1.0,1.0,1.0,1.0,1.0
